light_x,light_y,total_energy
120,90,1745930.0
355,90,2339900.0
590,90,1691930.0
0,295,1637930.0
240,295,2339900.0
470,295,1691930.0
700,295,989960.0
120,500,1799930.0
355,500,1637930.0
590,500,1529930.0
945,90,989960.0
945,500,1493930.0
1060,90,845960.0
1060,500,1709930.0
1295,90,845960.0
1295,500,1709900.0
930,295,1205960.0
1160,295,1403930.0
1390,295,1097930.0
120,910,1961930.0
355,910,1529930.0
590,910,1493930.0
0,590,1637930.0
240,590,1799930.0
470,590,1583930.0
700,590,1529930.0
0,885,1475930.0
240,885,1691900.0
470,885,1529930.0
700,885,1493930.0
0,1180,1313960.0
240,1180,1403930.0
470,1180,1943900.0
700,1180,1925900.0
940,590,1493930.0
1180,590,1925900.0
1400,590,1457930.0
940,885,1547930.0
1180,885,1493930.0
1400,885,1511900.0
0,1180,1313960.0
940,1180,1493930.0
1180,1180,971960.0
1400,1180,827960.0
