150_75_accumulated_energy,260_75_accumulated_energy,450_75_accumulated_energy,560_75_accumulated_energy,150_215_accumulated_energy,150_355_accumulated_energy,290_215_accumulated_energy,290_355_accumulated_energy,420_215_accumulated_energy,420_355_accumulated_energy,560_215_accumulated_energy,560_355_accumulated_energy,150_500_accumulated_energy,290_500_accumulated_energy,420_500_accumulated_energy,560_500_accumulated_energy
100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,100
200,200,200,200,200,200,200,200,200,200,200,200,0,0,200,200
300,300,300,300,300,300,300,300,300,300,300,300,0,0,300,300
400,400,400,400,400,400,400,400,400,400,400,400,0,0,400,400
500,500,500,500,500,500,500,500,500,500,500,500,0,0,500,500
600,600,600,600,600,600,600,600,600,600,600,600,0,0,600,600
700,700,700,700,700,700,700,700,700,700,700,700,0,0,700,700
800,800,800,800,800,800,800,800,800,800,800,800,0,0,800,800
900,900,900,900,900,900,900,900,900,900,900,900,0,0,900,900
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,0,1000,1000
1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,0,0,1100,1100
1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,1200,1200
1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,0,0,1300,1300
1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,0,0,1400,1400
1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,0,1500,1500
1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,0,0,1600,1600
1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,0,1700,1700
1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,0,1800,1800
1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,0,0,1900,1900
2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,0,2000,2000
2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,0,0,2100,2100
