150_75_accumulated_energy,260_75_accumulated_energy,450_75_accumulated_energy,560_75_accumulated_energy,150_215_accumulated_energy,150_355_accumulated_energy,290_215_accumulated_energy,290_355_accumulated_energy,420_215_accumulated_energy,420_355_accumulated_energy,560_215_accumulated_energy,560_355_accumulated_energy,150_500_accumulated_energy,290_500_accumulated_energy,420_500_accumulated_energy,560_500_accumulated_energy
100,100,0,0,100,100,100,100,100,100,100,100,100,0,100,100
200,200,0,0,200,200,200,200,200,200,200,200,200,0,200,200
300,300,0,0,300,300,300,300,300,300,300,300,300,0,300,300
400,400,0,0,400,400,400,400,400,400,400,400,400,0,400,400
500,500,0,0,500,500,500,500,500,500,500,500,500,0,500,500
600,600,0,0,600,600,600,600,600,600,600,600,600,0,600,600
700,700,0,0,700,700,700,700,700,700,700,700,700,0,700,700
800,800,0,0,800,800,800,800,800,800,800,800,800,0,800,800
900,900,0,0,900,900,900,900,900,900,900,900,900,0,900,900
1000,1000,0,0,1000,1000,1000,1000,1000,1000,1000,1000,1000,0,1000,1000
1100,1100,0,0,1100,1100,1100,1100,1100,1100,1100,1100,1100,0,1100,1100
1200,1200,0,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,1200,1200
1300,1300,0,0,1300,1300,1300,1300,1300,1300,1300,1300,1300,0,1300,1300
1400,1400,0,0,1400,1400,1400,1400,1400,1400,1400,1400,1400,0,1400,1400
1500,1500,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,0,1500,1500
1600,1600,0,0,1600,1600,1600,1600,1600,1600,1600,1600,1600,0,1600,1600
1700,1700,0,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,1700
1800,1800,0,0,1800,1800,1800,1800,1800,1800,1800,1800,1800,0,1800,1800
1900,1900,0,0,1900,1900,1900,1900,1900,1900,1900,1900,1900,0,1900,1900
2000,2000,0,0,2000,2000,2000,2000,2000,2000,2000,2000,2000,0,2000,2000
2100,2100,0,0,2100,2100,2100,2100,2100,2100,2100,2100,2100,0,2100,2100
2200,2200,0,0,2200,2200,2200,2200,2200,2200,2200,2200,2200,0,2200,2200
2300,2300,0,0,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,2300,2300
2400,2400,0,0,2400,2400,2400,2400,2400,2400,2400,2400,2400,0,2400,2400
2500,2500,0,0,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,2500,2500
2600,2600,0,0,2600,2600,2600,2600,2600,2600,2600,2600,2600,0,2600,2600
2700,2700,0,0,2700,2700,2700,2700,2700,2700,2700,2700,2700,0,2700,2700
2800,2800,0,0,2800,2800,2800,2800,2800,2800,2800,2800,2800,0,2800,2800
2900,2900,0,0,2900,2900,2900,2900,2900,2900,2900,2900,2900,0,2900,2900
3000,3000,0,0,3000,3000,3000,3000,3000,3000,3000,3000,3000,0,3000,3000
3100,3100,0,0,3100,3100,3100,3100,3100,3100,3100,3100,3100,0,3100,3100
3200,3200,0,0,3200,3200,3200,3200,3200,3200,3200,3200,3200,0,3200,3200
3300,3300,0,0,3300,3300,3300,3300,3300,3300,3300,3300,3300,0,3300,3300
3400,3400,0,0,3400,3400,3400,3400,3400,3400,3400,3400,3400,0,3400,3400
3500,3500,0,0,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,3500,3500
3600,3600,0,0,3600,3600,3600,3600,3600,3600,3600,3600,3600,0,3600,3600
3700,3700,0,0,3700,3700,3700,3700,3700,3700,3700,3700,3700,0,3700,3700
3800,3800,0,0,3800,3800,3800,3800,3800,3800,3800,3800,3800,0,3800,3800
3900,3900,0,0,3900,3900,3900,3900,3900,3900,3900,3900,3900,0,3900,3900
4000,4000,0,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,0,4000,4000
4100,4100,0,0,4100,4100,4100,4100,4100,4100,4100,4100,4100,0,4100,4100
4200,4200,0,0,4200,4200,4200,4200,4200,4200,4200,4200,4200,0,4200,4200
4300,4300,0,0,4300,4300,4300,4300,4300,4300,4300,4300,4300,0,4300,4300
4400,4400,0,0,4400,4400,4400,4400,4400,4400,4400,4400,4400,0,4400,4400
4500,4500,0,0,4500,4500,4500,4500,4500,4500,4500,4500,4500,0,4500,4500
4600,4600,0,0,4600,4600,4600,4600,4600,4600,4600,4600,4600,0,4600,4600
4700,4700,0,0,4700,4700,4700,4700,4700,4700,4700,4700,4700,0,4700,4700
4800,4800,0,0,4800,4800,4800,4800,4800,4800,4800,4800,4800,0,4800,4800
4900,4900,0,0,4900,4900,4900,4900,4900,4900,4900,4900,4900,0,4900,4900
5000,5000,0,0,5000,5000,5000,5000,5000,5000,5000,5000,5000,0,5000,5000
5100,5100,0,0,5100,5100,5100,5100,5100,5100,5100,5100,5100,0,5100,5100
5200,5200,0,0,5200,5200,5200,5200,5200,5200,5200,5200,5200,0,5200,5200
5300,5300,0,0,5300,5300,5300,5300,5300,5300,5300,5300,5300,0,5300,5300
5400,5400,0,0,5400,5400,5400,5400,5400,5400,5400,5400,5400,0,5400,5400
5500,5500,0,0,5500,5500,5500,5500,5500,5500,5500,5500,5500,0,5500,5500
5600,5600,0,0,5600,5600,5600,5600,5600,5600,5600,5600,5600,0,5600,5600
5700,5700,0,0,5700,5700,5700,5700,5700,5700,5700,5700,5700,0,5700,5700
5800,5800,0,0,5800,5800,5800,5800,5800,5800,5800,5800,5800,0,5800,5800
5900,5900,0,0,5900,5900,5900,5900,5900,5900,5900,5900,5900,0,5900,5900
6000,6000,0,0,6000,6000,6000,6000,6000,6000,6000,6000,6000,0,6000,6000
6100,6100,0,0,6100,6100,6100,6100,6100,6100,6100,6100,6100,0,6100,6100
6200,6200,0,0,6200,6200,6200,6200,6200,6200,6200,6200,6200,0,6200,6200
6300,6300,0,0,6300,6300,6300,6300,6300,6300,6300,6300,6300,0,6300,6300
6400,6400,0,0,6400,6400,6400,6400,6400,6400,6400,6400,6400,0,6400,6400
6500,6500,0,0,6500,6500,6500,6500,6500,6500,6500,6500,6500,0,6500,6500
6600,6600,0,0,6600,6600,6600,6600,6600,6600,6600,6600,6600,0,6600,6600
6700,6700,0,0,6700,6700,6700,6700,6700,6700,6700,6700,6700,0,6700,6700
6800,6800,0,0,6800,6800,6800,6800,6800,6800,6800,6800,6800,0,6800,6800
6900,6900,0,0,6900,6900,6900,6900,6900,6900,6900,6900,6900,0,6900,6900
7000,7000,0,0,7000,7000,7000,7000,7000,7000,7000,7000,7000,0,7000,7000
7100,7100,0,0,7100,7100,7100,7100,7100,7100,7100,7100,7100,0,7100,7100
7200,7200,0,0,7200,7200,7200,7200,7200,7200,7200,7200,7200,0,7200,7200
7300,7300,0,0,7300,7300,7300,7300,7300,7300,7300,7300,7300,0,7300,7300
7400,7400,0,0,7400,7400,7400,7400,7400,7400,7400,7400,7400,0,7400,7400
7500,7500,0,0,7500,7500,7500,7500,7500,7500,7500,7500,7500,0,7500,7500
7600,7600,0,0,7600,7600,7600,7600,7600,7600,7600,7600,7600,0,7600,7600
7700,7700,0,0,7700,7700,7700,7700,7700,7700,7700,7700,7700,0,7700,7700
7800,7800,0,0,7800,7800,7800,7800,7800,7800,7800,7800,7800,0,7800,7800
7900,7900,0,0,7900,7900,7900,7900,7900,7900,7900,7900,7900,0,7900,7900
8000,8000,0,0,8000,8000,8000,8000,8000,8000,8000,8000,8000,0,8000,8000
8100,8100,0,0,8100,8100,8100,8100,8100,8100,8100,8100,8100,0,8100,8100
8200,8200,0,0,8200,8200,8200,8200,8200,8200,8200,8200,8200,0,8200,8200
8300,8300,0,0,8300,8300,8300,8300,8300,8300,8300,8300,8300,0,8300,8300
8400,8400,0,0,8400,8400,8400,8400,8400,8400,8400,8400,8400,0,8400,8400
8500,8500,0,0,8500,8500,8500,8500,8500,8500,8500,8500,8500,0,8500,8500
8600,8600,0,0,8600,8600,8600,8600,8600,8600,8600,8600,8600,0,8600,8600
8700,8700,0,0,8700,8700,8700,8700,8700,8700,8700,8700,8700,0,8700,8700
8800,8800,0,0,8800,8800,8800,8800,8800,8800,8800,8800,8800,0,8800,8800
8900,8900,0,0,8900,8900,8900,8900,8900,8900,8900,8900,8900,0,8900,8900
9000,9000,0,0,9000,9000,9000,9000,9000,9000,9000,9000,9000,0,9000,9000
9100,9100,0,0,9100,9100,9100,9100,9100,9100,9100,9100,9100,0,9100,9100
9200,9200,0,0,9200,9200,9200,9200,9200,9200,9200,9200,9200,0,9200,9200
9300,9300,0,0,9300,9300,9300,9300,9300,9300,9300,9300,9300,0,9300,9300
9400,9400,0,0,9400,9400,9400,9400,9400,9400,9400,9400,9400,0,9400,9400
9500,9500,0,0,9500,9500,9500,9500,9500,9500,9500,9500,9500,0,9500,9500
9600,9600,0,0,9600,9600,9600,9600,9600,9600,9600,9600,9600,0,9600,9600
9700,9700,0,0,9700,9700,9700,9700,9700,9700,9700,9700,9700,0,9700,9700
9800,9800,0,0,9800,9800,9800,9800,9800,9800,9800,9800,9800,0,9800,9800
9900,9900,0,0,9900,9900,9900,9900,9900,9900,9900,9900,9900,0,9900,9900
10000,10000,0,0,10000,10000,10000,10000,10000,10000,10000,10000,10000,0,10000,10000
10100,10100,0,0,10100,10100,10100,10100,10100,10100,10100,10100,10100,0,10100,10100
10200,10200,0,0,10200,10200,10200,10200,10200,10200,10200,10200,10200,0,10200,10200
10300,10300,0,0,10300,10300,10300,10300,10300,10300,10300,10300,10300,0,10300,10300
10400,10400,0,0,10400,10400,10400,10400,10400,10400,10400,10400,10400,0,10400,10400
10500,10500,0,0,10500,10500,10500,10500,10500,10500,10500,10500,10500,0,10500,10500
10600,10600,0,0,10600,10600,10600,10600,10600,10600,10600,10600,10600,0,10600,10600
10700,10700,0,0,10700,10700,10700,10700,10700,10700,10700,10700,10700,0,10700,10700
10800,10800,0,0,10800,10800,10800,10800,10800,10800,10800,10800,10800,0,10800,10800
10900,10900,0,0,10900,10900,10900,10900,10900,10900,10900,10900,10900,0,10900,10900
11000,11000,0,0,11000,11000,11000,11000,11000,11000,11000,11000,11000,0,11000,11000
11100,11100,0,0,11100,11100,11100,11100,11100,11100,11100,11100,11100,0,11100,11100
11200,11200,0,0,11200,11200,11200,11200,11200,11200,11200,11200,11200,0,11200,11200
11300,11300,0,0,11300,11300,11300,11300,11300,11300,11300,11300,11300,0,11300,11300
11400,11400,0,0,11400,11400,11400,11400,11400,11400,11400,11400,11400,0,11400,11400
11500,11500,0,0,11500,11500,11500,11500,11500,11500,11500,11500,11500,0,11500,11500
11600,11600,0,0,11600,11600,11600,11600,11600,11600,11600,11600,11600,0,11600,11600
11700,11700,0,0,11700,11700,11700,11700,11700,11700,11700,11700,11700,0,11700,11700
11800,11800,0,0,11800,11800,11800,11800,11800,11800,11800,11800,11800,0,11800,11800
11900,11900,0,0,11900,11900,11900,11900,11900,11900,11900,11900,11900,0,11900,11900
12000,12000,0,0,12000,12000,12000,12000,12000,12000,12000,12000,12000,0,12000,12000
12100,12100,0,0,12100,12100,12100,12100,12100,12100,12100,12100,12100,0,12100,12100
12200,12200,0,0,12200,12200,12200,12200,12200,12200,12200,12200,12200,0,12200,12200
12300,12300,0,0,12300,12300,12300,12300,12300,12300,12300,12300,12300,0,12300,12300
12400,12400,0,0,12400,12400,12400,12400,12400,12400,12400,12400,12400,0,12400,12400
12500,12500,0,0,12500,12500,12500,12500,12500,12500,12500,12500,12500,0,12500,12500
12600,12600,0,0,12600,12600,12600,12600,12600,12600,12600,12600,12600,0,12600,12600
12700,12700,0,0,12700,12700,12700,12700,12700,12700,12700,12700,12700,0,12700,12700
12800,12800,0,0,12800,12800,12800,12800,12800,12800,12800,12800,12800,0,12800,12800
12900,12900,0,0,12900,12900,12900,12900,12900,12900,12900,12900,12900,0,12900,12900
13000,13000,0,0,13000,13000,13000,13000,13000,13000,13000,13000,13000,0,13000,13000
13100,13100,0,0,13100,13100,13100,13100,13100,13100,13100,13100,13100,0,13100,13100
13200,13200,0,0,13200,13200,13200,13200,13200,13200,13200,13200,13200,0,13200,13200
13300,13300,0,0,13300,13300,13300,13300,13300,13300,13300,13300,13300,0,13300,13300
13400,13400,0,0,13400,13400,13400,13400,13400,13400,13400,13400,13400,0,13400,13400
13500,13500,0,0,13500,13500,13500,13500,13500,13500,13500,13500,13500,0,13500,13500
13600,13600,0,0,13600,13600,13600,13600,13600,13600,13600,13600,13600,0,13600,13600
13700,13700,0,0,13700,13700,13700,13700,13700,13700,13700,13700,13700,0,13700,13700
13800,13800,0,0,13800,13800,13800,13800,13800,13800,13800,13800,13800,0,13800,13800
13900,13900,0,0,13900,13900,13900,13900,13900,13900,13900,13900,13900,0,13900,13900
14000,14000,0,0,14000,14000,14000,14000,14000,14000,14000,14000,14000,0,14000,14000
14100,14100,0,0,14100,14100,14100,14100,14100,14100,14100,14100,14100,0,14100,14100
14200,14200,0,0,14200,14200,14200,14200,14200,14200,14200,14200,14200,0,14200,14200
14300,14300,0,0,14300,14300,14300,14300,14300,14300,14300,14300,14300,0,14300,14300
14400,14400,0,0,14400,14400,14400,14400,14400,14400,14400,14400,14400,0,14400,14400
14500,14500,0,0,14500,14500,14500,14500,14500,14500,14500,14500,14500,0,14500,14500
14600,14600,0,0,14600,14600,14600,14600,14600,14600,14600,14600,14600,0,14600,14600
14700,14700,0,0,14700,14700,14700,14700,14700,14700,14700,14700,14700,0,14700,14700
14800,14800,0,0,14800,14800,14800,14800,14800,14800,14800,14800,14800,0,14800,14800
14900,14900,0,0,14900,14900,14900,14900,14900,14900,14900,14900,14900,0,14900,14900
15000,15000,0,0,15000,15000,15000,15000,15000,15000,15000,15000,15000,0,15000,15000
